Step number1, going left
Step number2, going left
Step number3, going left
Step number4, going left
Step number5, going left
Step number6, going left
Step number7, going left
Step number8, going left
Step number9, going left
Step number10, going left
Step number11, going left
Step number12, going left
Step number13, going left
Step number14, going left
Step number15, going left
Step number16, going left
Step number17, going left
Step number18, going left
Step number19, going left
Step number20, going left
Step number21, going left
Step number22, going left
Step number23, going left
Step number24, going left
Step number25, going left
Step number26, going left
Step number27, going left
Step number28, going left
Step number29, going left
Step number30, going left
Step number31, going left
Step number32, going left
Step number33, going left
Step number34, going left
Step number35, going left
Step number36, going left
Step number37, going left
Step number38, going left
Step number39, going left
Step number40, going left
Step number41, going left
Step number42, going left
Step number43, going left
Step number44, going left
Step number45, going left
Step number46, going left
Step number47, going left
Step number48, going left
Step number49, going left
Step number50, going left
Step number51, going left
Step number52, going left
Step number53, going left
Step number54, going left
Step number55, going up
Step number56, going up
Step number57, going up
Step number58, going up
Step number59, going left
Step number60, going up
Step number61, going up
Step number62, going up
Step number63, going up
Step number64, going up
Step number65, going up
Step number66, going up
Step number67, going up
Step number68, going up
Step number69, going up
Step number70, going up
Step number71, going up
Step number72, going up
Step number73, going up
Step number74, going right
Step number75, going right
Step number76, going up
Step number77, going up
Step number78, going up
Step number79, going up
Step number80, going up
Step number81, going up
Step number82, going up
Step number83, going up
Step number84, going up
Step number85, going up
Step number86, going up
Step number87, going right
Step number88, going left
Step number89, going left
Step number90, going up
Step number91, going up
Step number92, going right
Step number93, going right
Step number94, going up
Step number95, going up
Step number96, going left
Step number97, going left
Step number98, going up
Step number99, going up
Step number100, going up
Step number101, going up
Step number102, going up
Step number103, going up
Step number104, going up
Step number105, going up
Step number106, going up
Step number107, going up
Step number108, going up
Step number109, going up
Step number110, going up
Step number111, going up
Step number112, going up
Step number113, going up
Step number114, going up
Step number115, going up
Step number116, going up
Step number117, going left
Step number118, going left
Step number119, going left
Step number120, going left
Step number121, going left
Step number122, going left
Step number123, going left
Step number124, going left
Step number125, going left
Step number126, going left
Step number127, going left
Step number128, going left
Step number129, going left
Step number130, going left
Step number131, going left
Step number132, going left
Step number133, going left
Step number134, going left
Step number135, going left
Step number136, going left
Step number137, going left
Step number138, going left
Step number139, going left
Step number140, going left
Step number141, going left
Step number142, going left
Step number143, going left
Step number144, going left
Step number145, going left
Step number146, going left
Step number147, going left
Step number148, going left
Step number149, going left
Step number150, going left
Step number151, going left
Step number152, going left
Step number153, going left
Step number154, going left
Step number155, going left
Step number156, going left
Step number157, going left
Step number158, going left
Step number159, going left
Step number160, going left
Step number161, going left
Step number162, going left
Step number163, going left
Step number164, going left
Step number165, going left
Step number166, going left
Step number167, going left
Step number168, going left
Step number169, going left
Step number170, going left
Step number171, going right
Step number172, going right
Step number173, going right
Step number174, going right
Step number175, going right
Step number176, going left
Step number177, going left
Step number178, going left
Step number179, going down
Step number180, going left
Step number181, going left
Step number182, going left
Step number183, going left
Step number184, going up
Step number185, going left
Step number186, going left
Step number187, going left
Step number188, going down
Step number189, going down
Step number190, going down
Step number191, going left
Step number192, going left
Step number193, going up
Step number194, going up
Step number195, going left
Step number196, going left
Step number197, going up
Step number198, going up
Step number199, going up
Step number200, going up
Step number201, going up
Step number202, going right
Step number203, going right
Step number204, going up
Step number205, going up
Step number206, going right
Step number207, going right
Step number208, going right
Step number209, going right
Step number210, going right
Step number211, going right
Step number212, going right
Step number213, going up
Step number214, going right
Step number215, going right
Step number216, going right
Step number217, going right
Step number218, going right
Step number219, going right
Step number220, going right
Step number221, going right
Step number222, going right
Step number223, going right
Step number224, going right
Step number225, going right
Step number226, going right
Step number227, going up
Step number228, going right
Step number229, going up
Step number230, going up
Step number231, going up
Step number232, going up
Step number233, going down
Step number234, going down
Step number235, going down
Step number236, going left
Step number237, going left
Step number238, going up
Step number239, going up
Step number240, going left
Step number241, going left
Step number242, going up
Step number243, going up
Step number244, going up
Step number245, going up
Step number246, going up
Step number247, going left
Step number248, going left
Step number249, going left
Step number250, going left
Step number251, going left
Step number252, going left
Step number253, going left
Step number254, going left
Step number255, going left
Step number256, going left
Step number257, going left
Step number258, going left
Step number259, going left
Step number260, going left
Step number261, going left
Step number262, going left
Step number263, going left
Step number264, going left
Step number265, going left
Step number266, going right
Step number267, going right
Step number268, going up
Step number269, going up
Step number270, going left
Step number271, going left
Step number272, going up
Step number273, going up
Step number274, going up
Step number275, going up
Step number276, going up
Step number277, going up
Step number278, going up
Step number279, going up
Step number280, going up
Step number281, going up
Step number282, going up
Step number283, going up
Step number284, going up
Step number285, going up
Step number286, going up
Step number287, going up
Step number288, going up
Step number289, going up
Step number290, going up
Step number291, going right
Step number292, going right
Step number293, going right
Step number294, going right
Step number295, going left
Step number296, going left
Step number297, going left
Step number298, going left
Step number299, going left
Step number300, going left
Step number301, going left
Step number302, going left
Step number303, going left
Step number304, going left
Step number305, going left
Step number306, going left
Step number307, going left
Step number308, going left
Step number309, going down
Step number310, going down
Step number311, going down
Step number312, going left
Step number313, going left
Step number314, going up
Step number315, going up
Step number316, going up
Step number317, going up
Step number318, going up
Step number319, going left
Step number320, going left
Step number321, going left
Step number322, going left
Step number323, going left
Step number324, going left
Step number325, going left
Step number326, going left
Step number327, going left
Step number328, going left
Step number329, going left
Step number330, going left
Step number331, going left
Step number332, going left
Step number333, going left
Step number334, going left
Step number335, going left
Step number336, going left
Step number337, going right
Step number338, going right
Step number339, going right
Step number340, going right
Step number341, going right
Step number342, going right
Step number343, going right
Step number344, going right
Step number345, going right
Step number346, going right
Step number347, going right
Step number348, going right
Step number349, going right
Step number350, going right
Step number351, going right
Step number352, going right
Step number353, going right
Step number354, going right
Step number355, going down
Step number356, going down
Step number357, going down
Step number358, going down
Step number359, going down
Step number360, going right
Step number361, going right
Step number362, going down
Step number363, going down
Step number364, going right
Step number365, going right
Step number366, going down
Step number367, going down
Step number368, going left
Step number369, going left
Step number370, going down
Step number371, going down
Step number372, going up
Step number373, going up
Step number374, going right
Step number375, going right
Step number376, going down
Step number377, going down
Step number378, going down
Step number379, going right
Step number380, going right
Step number381, going right
Step number382, going up
Step number383, going right
Step number384, going right
Step number385, going right
Step number386, going right
Step number387, going left
Step number388, going down
Step number389, going down
Step number390, going right
Step number391, going down
Step number392, going right
Step number393, going right
Step number394, going up
Step number395, going right
Step number396, going up
Step number397, going up
Step number398, going up
Step number399, going right
Step number400, going right
Step number401, going left
Step number402, going left
Step number403, going up
Step number404, going up
Step number405, going right
Step number406, going right
Step number407, going up
Step number408, going up
Step number409, going right
Step number410, going down
Step number411, going right
