Step number1, going up
Step number2, going up
Step number3, going up
Step number4, going up
Step number5, going up
Step number6, going up
Step number7, going up
Step number8, going up
Step number9, going up
Step number10, going up
Step number11, going up
Step number12, going up
Step number13, going up
Step number14, going up
Step number15, going up
Step number16, going up
Step number17, going up
Step number18, going up
Step number19, going up
Step number20, going up
Step number21, going up
Step number22, going left
Step number23, going left
Step number24, going left
Step number25, going left
Step number26, going left
Step number27, going left
Step number28, going left
Step number29, going left
Step number30, going left
Step number31, going left
Step number32, going left
Step number33, going left
Step number34, going left
Step number35, going left
Step number36, going left
Step number37, going left
Step number38, going left
Step number39, going left
Step number40, going left
Step number41, going left
Step number42, going left
Step number43, going left
Step number44, going left
Step number45, going left
Step number46, going left
Step number47, going left
Step number48, going left
Step number49, going left
Step number50, going left
Step number51, going left
Step number52, going left
Step number53, going left
Step number54, going left
Step number55, going left
Step number56, going left
Step number57, going left
Step number58, going left
Step number59, going left
Step number60, going left
Step number61, going left
Step number62, going left
Step number63, going left
Step number64, going left
Step number65, going left
Step number66, going left
Step number67, going left
Step number68, going left
Step number69, going left
Step number70, going left
Step number71, going left
Step number72, going left
Step number73, going left
Step number74, going left
Step number75, going left
Step number76, going up
Step number77, going up
Step number78, going up
Step number79, going up
Step number80, going up
Step number81, going up
Step number82, going up
Step number83, going up
Step number84, going up
Step number85, going up
Step number86, going up
Step number87, going up
Step number88, going up
Step number89, going up
Step number90, going up
Step number91, going up
Step number92, going up
Step number93, going up
Step number94, going up
Step number95, going right
Step number96, going right
Step number97, going up
Step number98, going up
Step number99, going left
Step number100, going left
Step number101, going up
Step number102, going up
Step number103, going up
Step number104, going up
Step number105, going up
Step number106, going up
Step number107, going up
Step number108, going up
Step number109, going up
Step number110, going up
Step number111, going up
Step number112, going up
Step number113, going up
Step number114, going up
Step number115, going up
Step number116, going up
Step number117, going up
Step number118, going up
Step number119, going up
Step number120, going up
Step number121, going up
Step number122, going up
Step number123, going up
Step number124, going up
Step number125, going up
Step number126, going up
Step number127, going up
Step number128, going up
Step number129, going right
Step number130, going right
Step number131, going right
Step number132, going right
Step number133, going right
Step number134, going right
Step number135, going right
Step number136, going right
Step number137, going right
Step number138, going right
Step number139, going right
Step number140, going right
Step number141, going right
Step number142, going right
Step number143, going right
Step number144, going right
Step number145, going right
Step number146, going right
Step number147, going down
Step number148, going down
Step number149, going down
Step number150, going down
Step number151, going down
Step number152, going up
Step number153, going up
Step number154, going down
Step number155, going down
Step number156, going down
Step number157, going down
Step number158, going down
Step number159, going down
Step number160, going down
Step number161, going down
Step number162, going down
Step number163, going down
Step number164, going right
Step number165, going right
Step number166, going right
Step number167, going right
Step number168, going up
Step number169, going down
Step number170, going left
Step number171, going down
Step number172, going down
Step number173, going right
Step number174, going up
Step number175, going right
Step number176, going right
Step number177, going right
Step number178, going right
Step number179, going down
Step number180, going right
Step number181, going right
Step number182, going down
Step number183, going down
Step number184, going left
Step number185, going down
Step number186, going down
Step number187, going right
Step number188, going right
Step number189, going right
Step number190, going up
Step number191, going up
Step number192, going up
Step number193, going up
Step number194, going up
Step number195, going right
Step number196, going right
Step number197, going down
Step number198, going down
Step number199, going down
Step number200, going down
Step number201, going down
Step number202, going up
Step number203, going up
Step number204, going up
Step number205, going up
Step number206, going up
Step number207, going up
Step number208, going up
Step number209, going up
Step number210, going up
Step number211, going down
Step number212, going right
Step number213, going right
Step number214, going up
Step number215, going up
Step number216, going up
Step number217, going left
Step number218, going left
Step number219, going up
Step number220, going up
Step number221, going up
Step number222, going down
Step number223, going right
Step number224, going right
Step number225, going up
Step number226, going up
Step number227, going up
Step number228, going up
Step number229, going up
Step number230, going up
Step number231, going up
Step number232, going up
Step number233, going right
Step number234, going right
Step number235, going up
Step number236, going up
Step number237, going up
Step number238, going left
Step number239, going left
Step number240, going down
Step number241, going down
Step number242, going down
Step number243, going down
Step number244, going down
Step number245, going right
Step number246, going right
Step number247, going down
Step number248, going down
Step number249, going down
Step number250, going down
Step number251, going down
Step number252, going left
Step number253, going left
Step number254, going down
Step number255, going down
Step number256, going down
Step number257, going down
Step number258, going down
Step number259, going right
Step number260, going right
Step number261, going up
Step number262, going right
Step number263, going up
Step number264, going right
Step number265, going right
Step number266, going right
Step number267, going right
Step number268, going down
Step number269, going left
Step number270, going right
Step number271, going right
Step number272, going right
Step number273, going down
Step number274, going up
Step number275, going up
Step number276, going up
Step number277, going right
Step number278, going left
Step number279, going up
Step number280, going up
Step number281, going right
Step number282, going right
Step number283, going up
Step number284, going up
Step number285, going right
Step number286, going right
Step number287, going down
Step number288, going down
Step number289, going down
Step number290, going down
Step number291, going down
Step number292, going down
Step number293, going down
Step number294, going down
Step number295, going right
Step number296, going right
Step number297, going down
Step number298, going down
Step number299, going left
Step number300, going left
Step number301, going down
Step number302, going down
Step number303, going down
Step number304, going down
Step number305, going down
Step number306, going down
Step number307, going down
Step number308, going down
Step number309, going down
Step number310, going down
Step number311, going right
Step number312, going right
Step number313, going up
Step number314, going up
Step number315, going up
Step number316, going right
Step number317, going right
Step number318, going right
Step number319, going down
Step number320, going right
Step number321, going down
Step number322, going right
Step number323, going down
Step number324, going down
Step number325, going down
