Step number1, going up
Step number2, going up
Step number3, going up
Step number4, going up
Step number5, going right
Step number6, going up
Step number7, going left
Step number8, going left
Step number9, going left
Step number10, going up
Step number11, going left
Step number12, going right
Step number13, going up
Step number14, going up
Step number15, going up
Step number16, going up
Step number17, going right
Step number18, going up
Step number19, going up
Step number20, going up
Step number21, going left
Step number22, going left
Step number23, going left
Step number24, going up
Step number25, going left
Step number26, going left
Step number27, going left
Step number28, going left
Step number29, going up
Step number30, going up
Step number31, going up
Step number32, going right
Step number33, going up
Step number34, going up
Step number35, going right
Step number36, going right
Step number37, going up
Step number38, going up
Step number39, going up
Step number40, going up
Step number41, going up
Step number42, going right
Step number43, going right
Step number44, going right
Step number45, going down
Step number46, going right
Step number47, going right
Step number48, going right
Step number49, going right
Step number50, going right
Step number51, going right
Step number52, going right
Step number53, going up
Step number54, going right
Step number55, going right
Step number56, going right
Step number57, going up
Step number58, going up
Step number59, going up
Step number60, going up
Step number61, going left
Step number62, going left
Step number63, going up
Step number64, going up
Step number65, going up
Step number66, going up
Step number67, going up
Step number68, going right
Step number69, going right
Step number70, going right
Step number71, going right
Step number72, going right
Step number73, going right
Step number74, going right
Step number75, going right
Step number76, going right
Step number77, going right
Step number78, going right
Step number79, going right
Step number80, going right
Step number81, going right
Step number82, going right
Step number83, going right
Step number84, going right
Step number85, going right
Step number86, going right
Step number87, going right
Step number88, going right
Step number89, going right
Step number90, going right
Step number91, going right
Step number92, going right
Step number93, going right
Step number94, going right
Step number95, going right
Step number96, going right
Step number97, going right
Step number98, going right
Step number99, going right
Step number100, going right
Step number101, going right
Step number102, going right
Step number103, going right
Step number104, going right
Step number105, going right
Step number106, going right
Step number107, going right
Step number108, going right
Step number109, going right
Step number110, going right
Step number111, going right
Step number112, going right
Step number113, going right
Step number114, going right
Step number115, going right
Step number116, going right
Step number117, going right
Step number118, going right
Step number119, going right
Step number120, going right
Step number121, going right
Step number122, going right
Step number123, going right
Step number124, going right
Step number125, going right
Step number126, going right
Step number127, going right
Step number128, going up
Step number129, going up
Step number130, going up
Step number131, going up
Step number132, going up
Step number133, going up
Step number134, going up
Step number135, going up
Step number136, going up
Step number137, going up
Step number138, going up
Step number139, going up
Step number140, going up
Step number141, going down
Step number142, going down
Step number143, going down
Step number144, going down
Step number145, going down
Step number146, going down
Step number147, going down
Step number148, going down
Step number149, going down
Step number150, going down
Step number151, going down
Step number152, going down
Step number153, going down
Step number154, going down
Step number155, going down
Step number156, going down
Step number157, going down
Step number158, going down
Step number159, going down
Step number160, going down
Step number161, going down
Step number162, going down
Step number163, going down
Step number164, going down
Step number165, going down
Step number166, going down
Step number167, going left
